nodeId	pmid	pmcid	np	head	base	type	term	coid	section	arg_type
e2935c57a7a3c566da1f28763b267c12	chapter_1	978-1-4987-6285-4	Extracellular proteolytic cleavage	cleavage	Extracellular proteolytic cleavage	PTM	proteolytic cleavage	COID789633	CHAPTER 1	arg0
2a09cb23f9f485dafc08244c2b10bc02	chapter_1	978-1-4987-6285-4	degradation of factor VIII	degradation	degradation	degradation	degradation	COID049441	CHAPTER 1	arg1
1f8a6b1a1b66c422970b4f926aee190f	chapter_1	978-1-4987-6285-4	the N-glycans synthesized in insect cells	N-glycans	the N-glycans	sugar (subset of carbon source)	N-glycans	COID216687	CHAPTER 1	arg0
f262b01ee54b6178d60fd9299ebee275	chapter_1	978-1-4987-6285-4	fucose	fucose	fucose	sugar (subset of carbon source)	fucose	COID275575	CHAPTER 1	arg1
66419e29f2179c623926a09957805de5	chapter_1	978-1-4987-6285-4	confining glycan distribution to an acceptable range	distribution	confining glycan distribution	product quality profile	glycan distribution	COID651165	CHAPTER 1	arg0
c0b13679f429165890cc4035297f365f	chapter_1	978-1-4987-6285-4	the quality control of the product	control	the quality control	product quality attributes	quality	COID109463	CHAPTER 1	arg1
0117a9705326860f8938aba721d72346	chapter_1	978-1-4987-6285-4	the protein's biological activity	activity	the protein's biological activity	clinical outcomes	biological activity	COID518861	CHAPTER 1	arg1
0c834bbdee309b4543d71e16ee0ab0e4	chapter_1	978-1-4987-6285-4	the number of impurities carried in culture fluid that must be removed from the final product	number	the number	process condition	impurities	COID901557	CHAPTER 1	arg0
d6bee52789c30e64e185d1f92b7b41f5	chapter_1	978-1-4987-6285-4	a gene therapy product	product	a gene therapy product	genotype	gene	COID185502	CHAPTER 1	arg1
36e222d6dcdb3aa37c1e73a56c351f33	chapter_1	978-1-4987-6285-4	high mannose content	content	high mannose content	sugar (subset of carbon source)	high mannose	COID981337	CHAPTER 1	arg0
c50b306ba1f0dc21cc0908b75e0f1e86	chapter_1	978-1-4987-6285-4	the N-glycans synthesized in insect cells	N-glycans	the N-glycans	sugar (subset of carbon source)	N-glycans	COID216687	CHAPTER 1	arg1
3169b8f1e91f0b65d69262d2aeaa7ad8	chapter_1	978-1-4987-6285-4	fucose	fucose	fucose	sugar (subset of carbon source)	fucose	COID275575	CHAPTER 1	arg0
e4a97ac936d9ca40730a1f240c5e1bcf	chapter_10	978-1-4987-6285-4	the substrate level	level	the substrate level	substrates	substrate	COID265919	CHAPTER 10	arg0
a0d486ef36083d87bf981838808a410c	chapter_10	978-1-4987-6285-4	the conversion yield (i.e., metabolism)	yield	the conversion yield	overall titer or batch yield	yield	COID809703	CHAPTER 10	arg1
80e08ca1a27dbaf02d910015669d90bd	chapter_10	978-1-4987-6285-4	perfusion culture	culture	perfusion culture	process mode	perfusion culture	COID368508	CHAPTER 10	arg0
e651679393ba6de5b3f550c44dfa4c07	chapter_10	978-1-4987-6285-4	Most microfiltration devices used for perfusion culture	devices	Most microfiltration devices	filtration parameters	microfiltration	COID128781	CHAPTER 10	arg1
3b850e775d432c1095d2b471591f6389	chapter_10	978-1-4987-6285-4	the specific substrate consumption rate (q s , Eq	rate	the specific substrate consumption rate	substrates	substrate	COID265919	CHAPTER 10	arg0
a1a819b667ef5cc9cd7a3b6e73fdc363	chapter_10	978-1-4987-6285-4	the cell concentration multiplied by the specific substrate consumption rate (q s , Eq	concentration	the cell concentration	process parameters or process control	cell concentration	COID623648	CHAPTER 10	arg1
ff1da076951ec2597dbb2f77f2f663ca	chapter_10	978-1-4987-6285-4	the cell concentration	concentration	the cell concentration	process parameters or process control	cell concentration	COID623648	CHAPTER 10	arg0
1709097587d4278e61e74b8658e8867c	chapter_10	978-1-4987-6285-4	The concentration of the inhibitor (I)	concentration	The concentration	secondary raw materials	inhibitor	COID760391	CHAPTER 10	arg1
ab76e55fed6a74c6e87676850136f593	chapter_10	978-1-4987-6285-4	inhibitor accumulation	accumulation	inhibitor accumulation	secondary raw materials	inhibitor	COID760391	CHAPTER 10	arg0
bc4d2b9cbbd2eda8cc67a3b5f033ede6	chapter_10	978-1-4987-6285-4	cell growth	growth	cell growth	cell culture parameters	cell growth	COID093598	CHAPTER 10	arg1
bbc80f4f587287e4b033af427b243e25	chapter_10	978-1-4987-6285-4	glucose consumption	consumption	glucose consumption	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 10	arg0
7de0d66961dd1c98c9effc8a8c83d80f	chapter_10	978-1-4987-6285-4	lactate production	production	lactate production	by-product or waste	lactate	COID250920	CHAPTER 10	arg1
4755875637d48e528d32b11b82ba37f2	chapter_11	978-1-4987-6285-4	cell concentration (Eq	concentration	cell concentration	process parameters or process control	cell concentration	COID623648	CHAPTER 11	arg0
7e51d458e1495137b0d987ed16ef3828	chapter_11	978-1-4987-6285-4	The oxygen uptake rate (OUR)	rate	The oxygen uptake rate	biological process	oxygen uptake rate	COID844361	CHAPTER 11	arg1
38a22f318151d8fd6ba036e1ee7adee3	chapter_11	978-1-4987-6285-4	the specific oxygen consumption rate multiplied by cell concentration (Eq	consumption	the specific oxygen consumption rate	gases (subset of secondary raw materials)	oxygen	COID472476	CHAPTER 11	arg1
c907d4e1d56672d50a5cf3356cc0d583	chapter_11	978-1-4987-6285-4	cell metabolism	metabolism	cell metabolism	biological process	metabolism	COID291079	CHAPTER 11	arg0
76798a069824b7477c859781644407f1	chapter_11	978-1-4987-6285-4	carbon dioxide generated by cell metabolism	dioxide	carbon dioxide	gases (subset of secondary raw materials)	carbon dioxide	COID132568	CHAPTER 11	arg1
826c180e2ff9eb0725dbd678b4568b8d	chapter_11	978-1-4987-6285-4	carbon dioxide that is intentionally added to provide the pH buffer (see Chapter 7), thus reducing the oxygen level from the 21% in ambient air	dioxide	carbon dioxide	gases (subset of secondary raw materials)	carbon dioxide	COID132568	CHAPTER 11	arg0
b6791fcc3b3a7c007406790d3c2c8779	chapter_11	978-1-4987-6285-4	the pH buffer	buffer	the pH buffer	bioreactor conditions	pH	COID893209	CHAPTER 11	arg1
9b6a7d0b9bb10ff727060484b1b8d954	chapter_11	978-1-4987-6285-4	Carbon dioxide	dioxide	Carbon dioxide	gases (subset of secondary raw materials)	Carbon dioxide	COID132568	CHAPTER 11	arg0
993b998ec625aaf2c5b81a2e33eadcc5	chapter_11	978-1-4987-6285-4	growth	growth	growth	cell culture parameters	growth	COID203666	CHAPTER 11	arg1
d9f97d6199d0a8a05f87d9c70cf62a2d	chapter_11	978-1-4987-6285-4	oxygen transfer limitations	limitations	oxygen transfer limitations	gases (subset of secondary raw materials)	oxygen	COID472476	CHAPTER 11	arg0
81b19661c972acf9993543926e0f4da0	chapter_11	978-1-4987-6285-4	the widespread application of hollow fiber bioreactors	application	the widespread application	vessel or process parameter or production scale	bioreactors	COID345693	CHAPTER 11	arg1
8add677c7a463735ab0c9f05a7203318	chapter_11	978-1-4987-6285-4	aeration	aeration	aeration	bioreactor conditions	aeration	COID371755	CHAPTER 11	arg0
51b7ed82cea0bca1f20b28083f709cb7	chapter_11	978-1-4987-6285-4	the dissolved oxygen level to change	level	the dissolved oxygen level	bioreactor conditions	dissolved oxygen	COID661988	CHAPTER 11	arg1
00473e726f082e609a28aa3301be942b	chapter_11	978-1-4987-6285-4	an oxygen level of ~30% saturation with ambient air	level	an oxygen level	gases (subset of secondary raw materials)	oxygen	COID472476	CHAPTER 11	arg0
b832c07cef9f071b4f0cfe191c1760d1	chapter_11	978-1-4987-6285-4	optimal growth (Panel 11.9)	growth	optimal growth	cell culture parameters	growth	COID203666	CHAPTER 11	arg1
f3983817ecb5cd6ebf79dae16b8ee57a	chapter_11	978-1-4987-6285-4	cell culture	culture	cell culture	cell culture parameters	cell culture	COID293414	CHAPTER 11	arg1
f5205163357ad41937387c49cac37ed3	chapter_11	978-1-4987-6285-4	A medium stream	stream	A medium stream	media characteristics	medium	COID921897	CHAPTER 11	arg0
748f156718b3fb978248734581e01b0f	chapter_11	978-1-4987-6285-4	oxygen	oxygen	oxygen	gases (subset of secondary raw materials)	oxygen	COID472476	CHAPTER 11	arg1
126dc822582bb44a226bcbb54e554ec9	chapter_11	978-1-4987-6285-4	nutrients	nutrients	nutrients	secondary raw materials	nutrients	COID423902	CHAPTER 11	arg1
1f9490d5c4b7c7ff40b0704554758724	chapter_12	978-1-4987-6285-4	high levels that can affect growth or productivity	levels	high levels	cell culture parameters	growth	COID203666	CHAPTER 12	arg0
5a1a515141c15c4ac6f6b550592bcc32	chapter_12	978-1-4987-6285-4	productivity	productivity	productivity	process condition	productivity	COID731421	CHAPTER 12	arg1
8fb83147d86eff7a3477efd0df5fc0e2	chapter_12	978-1-4987-6285-4	high levels that can affect growth or productivity	levels	high levels	process condition	productivity	COID731421	CHAPTER 12	arg0
9bbdc8c822e066125c65a451a5d0ef4e	chapter_12	978-1-4987-6285-4	growth	growth	growth	cell culture parameters	growth	COID203666	CHAPTER 12	arg1
5a299cd2070cf2493604e2bcf9ce0b39	chapter_12	978-1-4987-6285-4	The physical factors that may affect cell growth, productivity, metabolism, and overall process performance	factors	The physical factors	process condition	productivity	COID731421	CHAPTER 12	arg0
3711df1644a01f5a9997bb9d7be1f0e3	chapter_12	978-1-4987-6285-4	metabolism	metabolism	metabolism	biological process	metabolism	COID291079	CHAPTER 12	arg1
8bae5b4a0840fd4f4caaf30ab9b7d91b	chapter_12	978-1-4987-6285-4	The physical factors that may affect cell growth, productivity, metabolism, and overall process performance	factors	The physical factors	cell culture parameters	cell growth	COID093598	CHAPTER 12	arg0
e5366974c386f603bd3799308bfeca80	chapter_12	978-1-4987-6285-4	The physical factors that may affect cell growth, productivity, metabolism, and overall process performance	factors	The physical factors	biological process	metabolism	COID291079	CHAPTER 12	arg0
77902aad84312ba02cc9d0660beb3f08	chapter_12	978-1-4987-6285-4	cell growth	growth	cell growth	cell culture parameters	cell growth	COID093598	CHAPTER 12	arg1
6ce519bac50da58d652050eb10182e88	chapter_12	978-1-4987-6285-4	the relevant parameters that affect their cell's growth, physiology, and productivity, and focus on keeping those parameters in the acceptable range	parameters	the relevant parameters	process condition	productivity	COID731421	CHAPTER 12	arg0
e434426653f9e4bbb2bbcca19ecd8c7e	chapter_12	978-1-4987-6285-4	their cell's growth	growth	their cell's growth	cell culture parameters	growth	COID203666	CHAPTER 12	arg1
5ba48218c4dd2f11399eea7c00a45f94	chapter_12	978-1-4987-6285-4	the relevant parameters that affect their cell's growth, physiology, and productivity, and focus on keeping those parameters in the acceptable range	parameters	the relevant parameters	cell culture parameters	growth	COID203666	CHAPTER 12	arg0
2f86895b3dffc5e86d9825fd1416387b	chapter_12	978-1-4987-6285-4	the molar fractions of oxygen at the inlet and the outlet ( y O2, in and y O2, out ), respectively	fractions	the molar fractions	gases (subset of secondary raw materials)	O2	COID472476	CHAPTER 12	arg0
1b7cc47d284ab4e84a217c7e97231bc8	chapter_12	978-1-4987-6285-4	the molar flow rate of the oxygen at the inlet and the outlet	rate	the molar flow rate	gases (subset of secondary raw materials)	oxygen	COID472476	CHAPTER 12	arg1
e70d94e7a4966eea8666613ba9807984	chapter_12	978-1-4987-6285-4	a cell culture medium	medium	a cell culture medium	media characteristics	culture medium	COID180560	CHAPTER 12	arg0
f0b172786c87f6b36c0839ca658678a2	chapter_12	978-1-4987-6285-4	about 20-40 mM of sodium bicarbonate	mM	about 20-40 mM	buffer (subset of secondary raw materials)	sodium bicarbonate	COID760948	CHAPTER 12	arg1
103c322496ab4e254a3814e89054004f	chapter_12	978-1-4987-6285-4	a cell culture medium	medium	a cell culture medium	cell culture parameters	cell culture	COID293414	CHAPTER 12	arg0
8e29733c658e5ec250d1307b093c9af9	chapter_12	978-1-4987-6285-4	the cell concentration	concentration	the cell concentration	process parameters or process control	cell concentration	COID623648	CHAPTER 12	arg0
4287c16fd8d95f6308a9dedbfd1e08bf	chapter_12	978-1-4987-6285-4	the specific oxygen consumption rate multiplied by the cell concentration	rate	the specific oxygen consumption rate	gases (subset of secondary raw materials)	oxygen	COID472476	CHAPTER 12	arg1
393f4f06e88fbe82a52299c1b08d2253	chapter_12	978-1-4987-6285-4	cell concentration	concentration	cell concentration	process parameters or process control	cell concentration	COID623648	CHAPTER 12	arg0
a5373b891ce48c07b2a963767fc9a66d	chapter_12	978-1-4987-6285-4	The nutrient depletion time	time	The nutrient depletion time	secondary raw materials	nutrient	COID423902	CHAPTER 12	arg1
3dc7bb77dabd9caa267637ec6cf0d165	chapter_12	978-1-4987-6285-4	The nutrient depletion time	time	The nutrient depletion time	process parameters or process control	time	COID742277	CHAPTER 12	arg1
ef5a15a970e168ec60304421c1bd3295	chapter_12	978-1-4987-6285-4	Scale	Scale	Scale	vessel or process parameter or production scale	Scale	COID586187	CHAPTER 12	arg0
a0e8f51da593c42f4d6ca424b696277f	chapter_12	978-1-4987-6285-4	Physical Behavior in Bioreactors	Behavior	Physical Behavior	vessel or process parameter or production scale	Bioreactors	COID345693	CHAPTER 12	arg1
bf54b65a21ddf24148f2c575538d8f59	chapter_12	978-1-4987-6285-4	the amount of time needed for cells to settle in the cell separator	amount	the amount	process parameters or process control	time	COID742277	CHAPTER 12	arg0
99ac157cd4a1c1979f8f70979ebc0385	chapter_12	978-1-4987-6285-4	the scale of operation	scale	the scale	vessel or process parameter or production scale	scale	COID586187	CHAPTER 12	arg1
f75d2ca4751cc25e04171064d145edb3	chapter_12	978-1-4987-6285-4	the frequency of passing through the device per day (thus, the frequency of cells' subjugation to shear stress incurred by pumping and temperature fluctuation)	frequency	the frequency	bioreactor conditions	temperature	COID692615	CHAPTER 12	arg0
499f51c97154e7c58e80f72485922f82	chapter_12	978-1-4987-6285-4	scale	scale	scale	vessel or process parameter or production scale	scale	COID586187	CHAPTER 12	arg0
6525857347dcfc869e778bb68a7751f4	chapter_12	978-1-4987-6285-4	cellular levels of CO 2 and intracellular pH	levels	cellular levels	bioreactor conditions	pH	COID893209	CHAPTER 12	arg1
f8d7dc7f6261a1a519efbf2c2a215d8a	chapter_12	978-1-4987-6285-4	OUR	OUR	OUR	biological process	OUR	COID844361	CHAPTER 12	arg1
22f379669d588cce835c5cdb0143d1fd	chapter_2	978-1-4987-6285-4	glucose metabolism	metabolism	glucose metabolism	biological process	metabolism	COID291079	CHAPTER 2	arg0
440c0029fe0847a362fd1eac2dd4172c	chapter_2	978-1-4987-6285-4	metabolic intermediates derived from glucose metabolism	intermediates	metabolic intermediates	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 2	arg1
9e0226aac998379d3650cfda1267b487	chapter_2	978-1-4987-6285-4	glucose metabolism	metabolism	glucose metabolism	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 2	arg0
472564269d9a008b4a9b581991836676	chapter_2	978-1-4987-6285-4	metabolic intermediates derived from glucose metabolism	intermediates	metabolic intermediates	biological process	metabolism	COID291079	CHAPTER 2	arg1
1879b623fbea8e97cdadab982878fe13	chapter_2	978-1-4987-6285-4	therapeutic recombinant protein production	production	therapeutic recombinant protein production	overall titer or batch yield	recombinant protein production	COID708316	CHAPTER 2	arg0
b9fdeaa3dd18ef999875807ef15b7c83	chapter_2	978-1-4987-6285-4	the two prominent host cell lines used for therapeutic recombinant protein production	lines	the two prominent host cell lines	cell line	host cell lines	COID702829	CHAPTER 2	arg1
4fc9ccf2c80cd5b66952893d19f657c0	chapter_2	978-1-4987-6285-4	CHO cells	cells	CHO cells	chinese hamster ovary (CHO)	CHO cells	COID806780	CHAPTER 2	arg0
7e5e4601a2a09a23a5222ef3e2a09b1e	chapter_2	978-1-4987-6285-4	an amplified genomic region that encodes for c-Myc gene, an oncogene, and a mutated TP53, a tumor suppressor gene	region	an amplified genomic region	genotype	gene	COID185502	CHAPTER 2	arg1
9203062495d1a12709d57835e096abb4	chapter_2	978-1-4987-6285-4	a preassembled oligoglycan containing three terminal glucose residues	oligoglycan	a preassembled oligoglycan	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 2	arg0
9691e36829c0cecb9f682c0b3f63f9f2	chapter_2	978-1-4987-6285-4	the asparagine ( Figure 2 .9)	asparagine	the asparagine	amino acid (subset of substrates)	asparagine	COID698257	CHAPTER 2	arg1
27feca75d9748619ed0d00172c4c22b6	chapter_2	978-1-4987-6285-4	The antibodies	antibodies	The antibodies	antibody	antibodies	COID278523	CHAPTER 2	arg0
60f3f67b55003b9124ec3a82c0b996b3	chapter_2	978-1-4987-6285-4	a limited period of time after the host's exposure to the antigen	period	a limited period	process parameters or process control	time	COID742277	CHAPTER 2	arg1
141c2fe8df51af2a22a9224d5bf76cb8	chapter_2	978-1-4987-6285-4	CHO	CHO	CHO	chinese hamster ovary (CHO)	CHO	COID806780	CHAPTER 2	arg1
a07ca2bb8ff0139449498948b7c3a587	chapter_2	978-1-4987-6285-4	The product of gene TP53, p53,	product	The product	genotype	gene	COID185502	CHAPTER 2	arg0
0ab946363253c026cc2fa7bf8f946870	chapter_2	978-1-4987-6285-4	external stress signals to cell cycle regulators	signals	external stress signals	biological process	cell cycle	COID780295	CHAPTER 2	arg1
1d5325a0ce8ebb1533535f660dcc3d02	chapter_3_1	978-1-4987-6285-4	culture medium	medium	culture medium	media characteristics	culture medium	COID180560	CHAPTER 3	arg0
ef91ac105cb2d6b400bdc7cf23ec3bfa	chapter_3_1	978-1-4987-6285-4	the glucose concentration used in culture medium	concentration	the glucose concentration	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 3	arg1
6b7535b4e28897d6d43ac37cc2d5a23a	chapter_3_1	978-1-4987-6285-4	glycolysis	glycolysis	glycolysis	metabolic pathways	glycolysis	COID345655	CHAPTER 3	arg0
bcaed34e6639db11eedd7816821f333f	chapter_3_1	978-1-4987-6285-4	Lactate produced in glycolysis	Lactate	Lactate	by-product or waste	Lactate	COID250920	CHAPTER 3	arg1
5ae0ff557ad04e6d549253010f691856	chapter_3_1	978-1-4987-6285-4	lactate produced in glycolysis	lactate	lactate	by-product or waste	lactate	COID250920	CHAPTER 3	arg1
7c7167dc8f4142dc4263d6841a47de44	chapter_3_1	978-1-4987-6285-4	These four enzymes along with pyruvate dehydrogenase kinase (PDK)	enzymes	These four enzymes	carbon source (subset of secondary raw materials)	pyruvate	COID727438	CHAPTER 3	arg0
949505abb6006f90415cd435204d1530	chapter_3_1	978-1-4987-6285-4	the flux of glucose carbon and its distribution at the pyruvate node	flux	the flux	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 3	arg1
89b3f8f30223f8c20f40c50e429f7c5c	chapter_3_1	978-1-4987-6285-4	the supply of pyruvate for the biosynthesis of many cellular constituents	supply	the supply	biochemical compound	biosynthesis	COID479844	CHAPTER 3	arg1
55acfc1dd4a68bf1dc472fea3bac3fa5	chapter_3_1	978-1-4987-6285-4	the supply of pyruvate for the biosynthesis of many cellular constituents	supply	the supply	carbon source (subset of secondary raw materials)	pyruvate	COID727438	CHAPTER 3	arg1
f67e47183bff9ef8fda8a1529426ec11	chapter_3_1	978-1-4987-6285-4	lactate	lactate	lactate	by-product or waste	lactate	COID250920	CHAPTER 3	arg0
ddbff14b1bcd1edc14888c1aa3843b7e	chapter_3_1	978-1-4987-6285-4	pyruvate converted to lactate	pyruvate	pyruvate	carbon source (subset of secondary raw materials)	pyruvate	COID727438	CHAPTER 3	arg1
4cf4877a484a86d68288055a819268a3	chapter_3_1	978-1-4987-6285-4	the depletion of the non-essential amino acid asparagine in culture medium	depletion	the depletion	amino acid (subset of substrates)	asparagine	COID698257	CHAPTER 3	arg0
70442b860206f170a861f7e5379b4fb2	chapter_3_1	978-1-4987-6285-4	amino acid misincorporation into the product protein	misincorporation	amino acid misincorporation	amino acid (subset of substrates)	amino acid	COID693703	CHAPTER 3	arg1
7c1d1b9d8da6c72b199c07faca63868e	chapter_3_1	978-1-4987-6285-4	glucose converted to lactate	glucose	glucose	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 3	arg1
4e2f563d1d1df89f60562a4fd921ffb5	chapter_3_1	978-1-4987-6285-4	the pyruvate generated in glycolysis	pyruvate	the pyruvate	carbon source (subset of secondary raw materials)	pyruvate	COID727438	CHAPTER 3	arg1
54cccc97be521e7f0ce8548db332e759	chapter_3_2	978-1-4987-6285-4	CHO cells	cells	CHO cells	chinese hamster ovary (CHO)	CHO cells	COID806780	CHAPTER 3	arg0
efc8e5d379f4cf9d79df750ef118b443	chapter_3_2	978-1-4987-6285-4	glycoproteins expressed in CHO cells	glycoproteins	glycoproteins	product	glycoproteins	COID866322	CHAPTER 3	arg1
6be7a2e9778aa5f696ec94333ec1b5d6	chapter_3_2	978-1-4987-6285-4	dozen glycosyltransferases	glycosyltransferases	dozen glycosyltransferases	enzyme	glycosyltransferases	COID225633	CHAPTER 3	arg0
e9b590dc96855b0c8aa6d2873ae3601a	chapter_3_2	978-1-4987-6285-4	the glycan heterogeneity in recombinant proteins	heterogeneity	the glycan heterogeneity	product quality attributes	glycan heterogeneity	COID262061	CHAPTER 3	arg1
508a3c3f8dbb3d359bbe172f282e2fa2	chapter_3_2	978-1-4987-6285-4	the transfer of a preassembled oligosaccharide (Glc 3 Man 9 GlcNAc 2 , an oligosaccharide of three glucose, nine mannose, and two N-acetylglucosamine) to the asparagine in a recognition sequence of a nascent protein in the ER lumen (Figure 3 .21)	transfer	the transfer	sugar (subset of carbon source)	N-acetylglucosamine	COID510815	CHAPTER 3	arg0
4c1bdca22ba0f008715b481e485e0d7b	chapter_3_2	978-1-4987-6285-4	N-glycosylation	N-glycosylation	N-glycosylation	glycosylation	N-glycosylation	COID293911	CHAPTER 3	arg1
384f7db3261e5965ff05f386694248c6	chapter_3_2	978-1-4987-6285-4	the transfer of a preassembled oligosaccharide (Glc 3 Man 9 GlcNAc 2 , an oligosaccharide of three glucose, nine mannose, and two N-acetylglucosamine) to the asparagine in a recognition sequence of a nascent protein in the ER lumen (Figure 3 .21)	transfer	the transfer	saccharides (subset of secondary raw materials)	oligosaccharide	COID163264	CHAPTER 3	arg0
ac455e703af00f770df57655724c37c5	chapter_3_2	978-1-4987-6285-4	the transfer of a preassembled oligosaccharide (Glc 3 Man 9 GlcNAc 2 , an oligosaccharide of three glucose, nine mannose, and two N-acetylglucosamine) to the asparagine in a recognition sequence of a nascent protein in the ER lumen (Figure 3 .21)	transfer	the transfer	amino acid (subset of substrates)	asparagine	COID698257	CHAPTER 3	arg0
2f9ce64be2fc3c48293100bc86b59d38	chapter_3_2	978-1-4987-6285-4	the transfer of a preassembled oligosaccharide (Glc 3 Man 9 GlcNAc 2 , an oligosaccharide of three glucose, nine mannose, and two N-acetylglucosamine) to the asparagine in a recognition sequence of a nascent protein in the ER lumen (Figure 3 .21)	transfer	the transfer	sugar (subset of carbon source)	glucose	COID367406	CHAPTER 3	arg0
